                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4782,                 1.2392,                 1.5307,                0.77693,                0.65545,                0.74568,                0.41571,                 1.6159,                 1.1784,                 1.6493,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.4748,                 1.2407,                 1.5208,                0.77721,                0.66319,                0.74712,                0.42013,                 1.5963,                   1.14,                 1.6334,               0.008317,               0.008317,               0.008317
                     37,                 1.4608,                  1.215,                 1.5108,                0.78423,                 0.6793,                0.75397,                0.42427,                 1.5932,                 1.1271,                 1.6328,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4547,                  1.209,                 1.5053,                0.78138,                0.67684,                0.75508,                0.42661,                 1.5865,                 1.1387,                 1.6287,               0.008218,               0.008218,               0.008218
                     39,                 1.4552,                   1.21,                 1.5027,                0.77175,                0.68999,                0.75782,                0.43068,                 1.5744,                 1.1113,                 1.6224,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4446,                 1.1942,                 1.4916,                 0.7902,                0.67574,                0.76096,                 0.4346,                 1.5725,                 1.0963,                 1.6193,               0.008119,               0.008119,               0.008119
                     41,                 1.4333,                 1.1895,                 1.4893,                0.79037,                0.70203,                0.76905,                0.44027,                 1.5597,                 1.0881,                 1.6074,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4332,                  1.177,                 1.4902,                0.76645,                0.70288,                0.76618,                0.44392,                 1.5481,                 1.0901,                  1.595,                0.00802,                0.00802,                0.00802
                     43,                 1.4275,                 1.1742,                 1.4793,                0.79443,                0.69623,                0.77561,                0.44728,                 1.5412,                 1.0595,                 1.5869,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4213,                 1.1584,                 1.4724,                0.79343,                0.68824,                0.77273,                 0.4483,                 1.5359,                 1.0708,                 1.5807,               0.007921,               0.007921,               0.007921
                     45,                 1.4165,                 1.1567,                 1.4665,                0.80584,                0.69282,                0.78135,                0.45828,                 1.5219,                 1.0426,                 1.5665,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4062,                 1.1427,                 1.4607,                0.79761,                0.70438,                0.78335,                  0.462,                 1.5169,                 1.0376,                 1.5648,               0.007822,               0.007822,               0.007822
                     47,                  1.405,                 1.1462,                 1.4623,                0.80069,                0.70193,                0.78495,                0.46454,                 1.4977,                 1.0285,                 1.5526,              0.0077725,              0.0077725,              0.0077725
                     48,                  1.398,                 1.1292,                 1.4576,                0.80032,                0.70537,                0.78589,                0.46502,                 1.4887,                 1.0232,                 1.5432,               0.007723,               0.007723,               0.007723
                     49,                 1.4007,                 1.1337,                 1.4544,                 0.8083,                0.71326,                0.79056,                0.47366,                 1.4789,                0.99825,                 1.5371,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.3813,                 1.1129,                 1.4456,                0.80227,                0.72008,                0.79112,                0.47592,                 1.4712,                 1.0026,                  1.531,               0.007624,               0.007624,               0.007624
                     51,                 1.3834,                 1.1164,                  1.447,                0.81247,                0.71257,                0.79381,                0.47916,                  1.464,                0.99503,                 1.5259,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.3745,                 1.0953,                  1.437,                0.81728,                0.71375,                 0.7982,                0.48316,                 1.4564,                0.98108,                 1.5221,               0.007525,               0.007525,               0.007525
                     53,                 1.3671,                 1.1056,                 1.4361,                0.81359,                0.72661,                0.80249,                0.48399,                 1.4533,                0.97471,                 1.5244,              0.0074755,              0.0074755,              0.0074755
                     54,                  1.361,                 1.0919,                 1.4248,                0.81558,                0.72966,                0.79845,                0.48628,                 1.4517,                0.97463,                 1.5228,               0.007426,               0.007426,               0.007426
                     55,                 1.3546,                 1.0748,                 1.4261,                0.82503,                0.72403,                0.80082,                0.49067,                 1.4345,                0.95917,                 1.5129,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.3528,                 1.0763,                 1.4221,                0.83101,                 0.7281,                0.80637,                0.49345,                 1.4274,                 0.9507,                 1.5029,               0.007327,               0.007327,               0.007327
                     57,                 1.3496,                  1.073,                 1.4191,                0.81947,                0.73447,                0.80621,                0.49802,                 1.4131,                0.94289,                 1.4884,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.3381,                 1.0644,                 1.4037,                0.82555,                0.73524,                0.81025,                0.50289,                 1.4072,                0.93432,                  1.482,               0.007228,               0.007228,               0.007228
                     59,                  1.333,                 1.0482,                 1.4042,                0.81142,                0.74772,                0.80814,                0.50586,                 1.3996,                0.92755,                 1.4766,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3332,                 1.0442,                 1.4021,                0.82439,                0.74214,                0.81273,                0.50924,                 1.3886,                0.92335,                 1.4665,               0.007129,               0.007129,               0.007129
