                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6853,                 1.6913,                 1.9321,                0.57198,                0.46784,                0.49729,                0.24518,                   1.77,                 1.9783,                 2.1058,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.6799,                  1.687,                  1.905,                0.65105,                0.50292,                0.55502,                0.27885,                  1.755,                 1.9079,                 2.0921,               0.008317,               0.008317,               0.008317
                     37,                 1.6664,                 1.6219,                 1.8874,                 0.6798,                0.47368,                 0.5478,                0.27465,                 1.6266,                 2.0089,                 2.0301,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.6754,                 1.6341,                 1.8809,                0.57904,                0.38889,                0.43896,                0.21961,                 1.6948,                 2.0725,                 2.0875,               0.008218,               0.008218,               0.008218
                     39,                 1.6179,                 1.6092,                 1.8538,                  0.625,                0.51658,                0.59687,                0.31769,                 1.6769,                 1.7221,                 2.0277,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.6641,                 1.6125,                 1.8918,                0.69319,                0.50292,                 0.5839,                0.29769,                 1.7149,                 1.6682,                  2.024,               0.008119,               0.008119,               0.008119
                     41,                 1.6367,                 1.5867,                 1.8579,                0.60547,                0.47953,                0.49308,                0.23815,                  1.759,                 1.8034,                 2.1222,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.6212,                  1.597,                 1.8436,                 0.6343,                0.51754,                0.58349,                0.29112,                 1.6151,                 1.9169,                 1.9404,                0.00802,                0.00802,                0.00802
                     43,                  1.574,                 1.5226,                 1.7664,                0.58697,                0.51462,                0.55992,                0.29266,                 1.6475,                 1.7859,                 1.9813,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.6164,                 1.5758,                 1.8332,                0.58842,                0.53089,                0.54544,                0.28671,                  1.668,                 1.7139,                 2.0232,               0.007921,               0.007921,               0.007921
                     45,                 1.6025,                 1.5696,                   1.81,                0.59938,                0.55263,                0.59993,                0.31878,                 1.6867,                  1.704,                 2.0716,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.566,                 1.4778,                  1.777,                0.63143,                0.56106,                 0.5995,                0.33108,                 1.5745,                 1.7204,                 1.9424,               0.007822,               0.007822,               0.007822
                     47,                 1.5371,                 1.4465,                 1.7487,                0.63001,                0.56262,                0.59748,                0.32209,                 1.5802,                  1.797,                 1.9577,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.5655,                  1.468,                 1.7923,                0.65083,                0.55592,                  0.602,                0.31752,                 1.6002,                 1.6618,                  1.978,               0.007723,               0.007723,               0.007723
                     49,                 1.5468,                 1.5041,                  1.779,                0.68455,                0.47589,                0.55373,                0.30887,                 1.6318,                 1.7068,                 1.9315,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.5473,                 1.4518,                 1.7844,                0.69618,                0.53601,                0.62331,                0.33552,                 1.5832,                 1.5915,                 1.8973,               0.007624,               0.007624,               0.007624
                     51,                 1.5539,                 1.4652,                 1.7646,                0.65215,                0.54971,                0.61167,                0.33062,                  1.641,                  1.673,                 1.9728,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.5238,                 1.4143,                 1.7583,                0.76075,                0.46488,                0.59042,                0.31473,                 1.6055,                 1.6245,                 1.9781,               0.007525,               0.007525,               0.007525
                     53,                 1.5156,                 1.3896,                 1.7564,                0.70114,                 0.5117,                0.61014,                0.32821,                  1.617,                 1.5608,                 1.9739,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.5173,                 1.4122,                 1.7248,                0.74991,                0.44716,                0.54836,                0.28734,                 1.5846,                 1.9423,                  1.971,               0.007426,               0.007426,               0.007426
                     55,                 1.4908,                 1.4273,                 1.7369,                0.70637,                0.47833,                 0.5724,                0.31254,                 1.5564,                 1.6709,                 1.9178,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.5148,                 1.4364,                 1.7335,                 0.6482,                0.51462,                0.58766,                0.31819,                  1.525,                 1.7042,                  1.864,               0.007327,               0.007327,               0.007327
                     57,                 1.4853,                 1.4173,                  1.706,                0.75958,                0.51732,                0.63531,                0.35758,                 1.5376,                 1.5358,                 1.9092,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4625,                 1.3659,                 1.6546,                0.62522,                 0.5731,                0.61273,                0.33712,                   1.59,                 1.6178,                 1.9558,               0.007228,               0.007228,               0.007228
                     59,                 1.4664,                  1.359,                 1.6916,                0.70674,                0.52924,                0.60911,                0.33085,                 1.5691,                  1.688,                 1.9298,              0.0071785,              0.0071785,              0.0071785
                     60,                  1.491,                 1.3751,                 1.7081,                0.69915,                0.59357,                0.66435,                0.38326,                 1.4344,                 1.4384,                 1.7801,               0.007129,               0.007129,               0.007129
                     61,                 1.4367,                 1.3236,                 1.6501,                0.71308,                0.58135,                0.65814,                0.36258,                 1.5261,                 1.4765,                 1.8563,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.5042,                 1.3487,                  1.704,                0.74228,                0.54678,                0.63721,                0.35723,                 1.5162,                 1.4298,                 1.8762,                0.00703,                0.00703,                0.00703
                     63,                 1.4116,                 1.3243,                 1.6521,                0.75957,                0.54094,                0.65805,                 0.3697,                 1.5024,                 1.4704,                 1.8669,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4242,                 1.3037,                 1.6623,                0.71645,                0.56151,                0.65565,                0.36524,                 1.5293,                 1.4753,                 1.8863,               0.006931,               0.006931,               0.006931
                     65,                 1.4521,                 1.3071,                 1.6735,                0.67995,                 0.5715,                0.64432,                 0.3602,                 1.5363,                 1.4581,                 1.8512,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4544,                 1.3141,                 1.6835,                0.68444,                0.61517,                0.68186,                0.37239,                 1.5422,                 1.4086,                 1.9358,               0.006832,               0.006832,               0.006832
                     67,                  1.467,                 1.3041,                 1.6912,                0.66222,                0.55848,                0.64118,                0.35057,                 1.6407,                 1.4857,                 1.9954,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.419,                 1.2841,                 1.6607,                0.75596,                0.54386,                  0.656,                0.36895,                 1.5447,                 1.4902,                 1.8845,               0.006733,               0.006733,               0.006733
                     69,                  1.427,                 1.2849,                 1.6375,                0.70797,                 0.5848,                0.66131,                0.35421,                  1.569,                 1.5148,                 1.8789,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.4223,                 1.3031,                 1.6513,                 0.7157,                0.58151,                0.68003,                0.38032,                 1.4848,                 1.4039,                 1.8344,               0.006634,               0.006634,               0.006634
                     71,                 1.4228,                 1.3219,                 1.6728,                0.72372,                 0.6204,                0.68851,                0.37734,                 1.4781,                 1.4412,                 1.8054,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.4206,                 1.2909,                 1.6458,                0.72769,                0.61728,                0.69328,                0.38834,                 1.4637,                  1.403,                  1.818,               0.006535,               0.006535,               0.006535
                     73,                 1.3828,                 1.2549,                 1.6204,                0.70816,                0.61988,                0.66666,                0.38381,                 1.4109,                 1.3368,                 1.7508,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3653,                 1.2184,                 1.6093,                0.64398,                 0.5731,                0.62368,                  0.338,                 1.5379,                  1.602,                 1.9006,               0.006436,               0.006436,               0.006436
                     75,                  1.395,                 1.2429,                 1.6134,                0.66097,                0.62706,                0.67767,                0.36281,                 1.5089,                 1.4748,                  1.866,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3363,                 1.2139,                 1.6135,                0.74655,                0.61404,                0.69614,                0.38602,                 1.4778,                 1.3653,                  1.812,               0.006337,               0.006337,               0.006337
                     77,                 1.3558,                 1.1993,                 1.6092,                0.75684,                0.58187,                0.69917,                0.39433,                 1.4697,                 1.3614,                 1.7654,              0.0062875,              0.0062875,              0.0062875
                     78,                  1.365,                 1.1889,                 1.5873,                0.75675,                 0.5614,                0.66398,                0.35605,                 1.5313,                 1.6153,                 1.8546,               0.006238,               0.006238,               0.006238
                     79,                  1.369,                 1.1799,                 1.6056,                0.61991,                0.57227,                0.63283,                0.34316,                 1.5795,                 1.4889,                 1.8862,              0.0061885,              0.0061885,              0.0061885
