                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1205,                 2.2266,                  2.213,                 0.3822,                0.32749,                0.27932,                0.11258,                 2.1847,                 2.4461,                  2.414,              0.0083665,              0.0083665,              0.0083665
                     36,                 2.0786,                 2.1777,                 2.1851,                0.38339,                0.34795,                0.29533,                0.11323,                  2.163,                 2.3533,                 2.3613,               0.008317,               0.008317,               0.008317
                     37,                  2.056,                 2.1429,                 2.1614,                 0.2913,                0.27485,                0.22016,                0.08226,                 2.1548,                 2.6985,                 2.3743,              0.0082675,              0.0082675,              0.0082675
                     38,                 2.0346,                 2.1562,                 2.1545,                0.39603,                0.36842,                0.32779,                0.12196,                 2.0341,                 2.2354,                 2.2395,               0.008218,               0.008218,               0.008218
                     39,                 2.0315,                 2.0549,                 2.0901,                0.45595,                0.43567,                0.40765,                0.16087,                 1.9569,                 2.0728,                 2.1814,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.9998,                 2.0425,                 2.1101,                0.44699,                0.43567,                0.42811,                0.16545,                 1.9287,                 2.4627,                 2.1435,               0.008119,               0.008119,               0.008119
                     41,                 2.0272,                 2.1282,                 2.1225,                0.48816,                0.37427,                0.37799,                0.16351,                 1.8478,                 2.1305,                 2.0732,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.9889,                 2.0419,                 2.0679,                 0.5816,                0.40936,                0.44011,                0.19021,                 1.8249,                  2.029,                 2.0875,                0.00802,                0.00802,                0.00802
                     43,                 1.9752,                 2.0107,                 2.0366,                0.61246,                0.38817,                0.46107,                0.19652,                   1.92,                 1.9635,                 2.1347,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.9691,                 1.9756,                 2.0074,                0.55048,                0.38012,                0.43984,                0.18838,                 1.9786,                 2.0209,                 2.1794,               0.007921,               0.007921,               0.007921
                     45,                 1.9676,                 1.9784,                 2.0179,                0.52508,                0.43319,                0.46081,                0.18866,                 2.0385,                  2.062,                 2.2192,              0.0078715,              0.0078715,              0.0078715
