                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3976,                 1.1401,                 1.6124,                0.78092,                0.70091,                0.76972,                0.45035,                 1.5014,                  1.045,                 1.7663,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.3942,                 1.1328,                 1.6035,                0.77836,                0.69534,                0.76592,                 0.4463,                 1.5102,                 1.0403,                 1.7745,               0.008317,               0.008317,               0.008317
                     37,                 1.3891,                 1.1355,                 1.6042,                0.79882,                 0.6998,                0.77857,                0.45752,                 1.4978,                0.99527,                 1.7725,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.3871,                  1.134,                 1.6033,                0.79322,                0.70938,                 0.7811,                0.46261,                 1.4791,                 0.9999,                 1.7495,               0.008218,               0.008218,               0.008218
                     39,                 1.3724,                 1.1061,                 1.5885,                0.81798,                0.68703,                0.77384,                0.45915,                 1.4871,                 1.0094,                 1.7539,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.3696,                 1.0994,                 1.5818,                0.82813,                0.70225,                0.78934,                0.47052,                 1.4523,                0.95835,                 1.7288,               0.008119,               0.008119,               0.008119
                     41,                 1.3644,                 1.0988,                 1.5785,                0.80935,                0.70827,                0.78948,                0.47176,                 1.4606,                0.96774,                 1.7228,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.3732,                 1.1078,                 1.5844,                0.80787,                0.71696,                0.79394,                 0.4782,                 1.4394,                0.95621,                   1.71,                0.00802,                0.00802,                0.00802
                     43,                 1.3561,                 1.0898,                 1.5675,                0.82733,                0.71651,                0.79589,                0.48405,                 1.4332,                0.94636,                 1.7076,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.3461,                 1.0769,                 1.5613,                0.81488,                0.72008,                0.79776,                0.48573,                 1.4266,                0.94568,                 1.6943,               0.007921,               0.007921,               0.007921
                     45,                 1.3367,                 1.0685,                  1.556,                0.82117,                0.72659,                0.79913,                0.49185,                   1.41,                0.93182,                 1.6813,              0.0078715,              0.0078715,              0.0078715
                     46,                   1.33,                 1.0486,                 1.5425,                  0.823,                0.73211,                0.80137,                0.49481,                 1.4037,                   0.93,                 1.6785,               0.007822,               0.007822,               0.007822
                     47,                 1.3286,                 1.0577,                 1.5452,                 0.8266,                0.72833,                0.80715,                0.50398,                 1.3958,                0.90296,                 1.6671,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.3102,                 1.0361,                 1.5326,                0.84396,                0.73049,                 0.8128,                0.50772,                 1.3814,                0.89193,                 1.6516,               0.007723,               0.007723,               0.007723
                     49,                 1.3174,                 1.0426,                 1.5314,                0.84208,                 0.7261,                0.81107,                 0.5126,                 1.3626,                0.88771,                 1.6383,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.3129,                 1.0208,                 1.5286,                0.83482,                0.74348,                0.81614,                0.51628,                 1.3593,                0.87417,                 1.6409,               0.007624,               0.007624,               0.007624
                     51,                 1.3068,                 1.0297,                 1.5317,                0.84217,                0.74089,                0.81733,                0.51733,                 1.3469,                0.86654,                 1.6298,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.3094,                  1.023,                 1.5247,                0.83396,                0.74103,                0.81891,                0.51652,                 1.3476,                0.86069,                 1.6236,               0.007525,               0.007525,               0.007525
                     53,                 1.2966,                 1.0073,                 1.5143,                0.83839,                0.74616,                0.81969,                0.52225,                   1.33,                0.85806,                 1.6135,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2932,                 1.0126,                 1.5072,                0.84383,                0.74058,                0.81999,                 0.5254,                 1.3178,                 0.8499,                 1.6006,               0.007426,               0.007426,               0.007426
